OBJECTID,RSPB_Reference,County,Incident_Type,Month,Year,Grid_Square,Details,More_Info_Here,Country,GlobalID,SHAPE_Length,SHAPE_Area
7320,99879,WESTERN ISLES,Poisoning,September,2016,NB24,"Species involved: Buzzard x 1; Raven x 1; Hooded crow x 4; unknown bait x 4. Tested positive for: Withheld.",No Link,SCOTLAND,{FB1E2C3B-2FD9-4DFB-A790-7C88CCBF3B9F},75981.0589936981,360819476.525012
7321,95445,ANGUS,Illegal Pole/Spring Trapping,February,2012,NO48,Species involved: Buzzard x 1.,No Link,SCOTLAND,{3E2B44EA-78CD-4F4C-80AC-1B1E18EA81E3},73275.4900459001,335580512.363471
7322,90280,POWYS,Poisoning,September,2008,SN98,Species targeted: Birds of prey. Species involved: Poison bait (partridge) x 2. Tested positive for Alphachloralose. Possession of: Alphachloralose.,No Link,WALES,{B2477B9A-9EF2-4295-910E-DE7554333F55},65595.927650118,268926048.545002
7323,101810,ABERDEENSHIRE,PersecutionOther,June,2008,NO69,Species targeted: Birds of prey. Possession of: Carbofuran,No Link,SCOTLAND,{ACC58D10-307E-410F-B6E5-EB33EC8A12B5},73457.3480004958,337248294.617387
7324,92859,NORTHUMBERLAND,PersecutionOther,March,2010,NT93,Species targeted: Birds of prey. Possession of: Alphachloralose.,No Link,ENGLAND,{DA009451-2CD7-417F-92A9-AE3A61277468},70756.6481111736,312905889.299428
7325,93324,GLOUCESTERSHIRE,Poisoning,June,2010,SO51,Species involved: Peregrine falcon x 1. Tested positive for: Diazinon.,No Link,ENGLAND,{0E8F5A5C-4A3F-48A7-86CD-8D5A5C31AE78},64699.267146427,261624137.19536
7326,88508,ABERDEENSHIRE,Poisoning,May,2007,NJ72,"Species involved: Peregrine falcon x 2; poison bait (pigeon) x 1. Tested positive for: Carbofuran.",No Link,SCOTLAND,{8EB7CA2E-24AE-44B1-A81A-2AC5B74A3BAC},73994.7151810136,342200534.464558
7327,97511,COUNTY DURHAM,Shooting,June,2015,NZ33,Species involved: Peregrine falcon x 1.,https://www.bbc.co.uk/news/uk-england-tees-33365334,ENGLAND,{A566B33D-5001-44B6-A756-54E4AF3050AC},69183.9676934568,299150777.438888
7328,99966,NORTHAMPTONSHIRE,Shooting,July,2018,SP99,Species involved: Red kite x 1.,https://community.rspb.org.uk/ourwork/b/investigations/posts/red-kite-shot-illegally-in-corby-northamptonshire-euthanised ,ENGLAND,{9339F4A9-8D75-4C6E-B125-D4326C6CD9C6},65733.9145031956,270058660.898327
7329,100056,ISLE OF WIGHT,Illegal Pole/Spring Trapping,March,2018,SZ58,Species involved: Buzzard x 1.,https://community.rspb.org.uk/ourwork/b/investigations/posts/hobby-and-buzzard-found-with-spring-trap-injuries ,ENGLAND,{0EC66CEE-F47C-40F2-A9B3-AE2802232D5C},63082.0204243345,248708263.955216
7330,96800,DOWN,Poisoning,February,2013,J43,"Species targeted: Birds of prey. Species involved: Fox x 1, poison bait (chicken) x 1. Tested positive for: Carbofuran.",No Link,NORTHERN IRELAND,{A8D216DE-F282-4B77-981D-BB7D603F8B2C},68360.3634785028,292070647.409802
7331,93252,HIGHLAND,Illegal Pole/Spring Trapping,June,2010,NN68,Species involved: Goshawk x 1.,No Link,SCOTLAND,{DED39DBB-3BC8-4F1E-B18D-99C7B657BC17},73229.6592166148,335160858.197432
7332,101160,NORTH YORKSHIRE,Poisoning,February,2020,SE17,Species involved: Red kite x 1. Tested positive for: Carbofuran.,No Link,ENGLAND,{13EECD69-F217-4BE6-956D-39B983F23F03},68285.7116070692,291433093.022158
7333,98160,PERTH AND KINROSS,Poisoning,June,2015,NN85,Species involved: Buzzard x 1. Tested positive for: Alphachloralose. ,No Link,SCOTLAND,{6306F4BC-26C4-4F9C-B213-C731954DCD26},72722.3629557887,330533304.688859
7334,94848,HAMPSHIRE,Poisoning,March,2012,SU42,Species involved: Buzzard x 1. Tested positive for: Alphachloralose.,No Link,ENGLAND,{B90F379D-9037-46D3-AF17-5F60AA2889AD},63569.4893537093,252566933.51926
7335,100128,SUFFOLK,Poisoning,March,2018,TL87,Species involved: Buzzard x 1. Tested positive for: Bendiocarb.,No Link,ENGLAND,{B4D31751-7846-4A89-8FE0-2CD5BE3D56D5},65413.4303905651,267431743.745606
